id,description,occupation,occupation_field,timestamp
25416534,"Tänk mest högteknologiska elektronikprodukterna föreställa , sen tänker steg längre . världsledande produktionslösningar leder elektronikindustrin skapar dagens mest högteknologiska produkter , ödmjukhet inför viktigaste lyckas passion såväl affärer teknik framförallt människor . Mycronic befinner expansiv fas vill fortsätta etablera fler marknader fler länder göra söker personer vill fortsatta resa . Välkommen Mycronic Mycronic svenskt bolag 40 år utvecklat tillverkat elektronik- displaytillverkare idag kunder distributörer 50 länder världen . dagsläget finns inget annat företag hela världen konkurrera Mycronics teknik produkter . tillverkade Mycronics maskiner – kommer viktig del utvecklingen projektledningen . fortsatt tillväxt fokus vidareutveckla såväl befintliga produkter utveckla nya behöver Mycronic utöka R & D-team teknisk projektledare . kommer tillhöra team 13 personer varav teknisk projektledare , tillsammans team driver konceptutvecklingsprojekt Mycronic´s Pattern Generators ( PG ) . Rollen erbjuder stor variation arbetsuppgifter kommer dagligen kontakt mängd olika intressenter , exempelvis ingenjörer elektronik , mekanik , optik , produktion , inköpare leverantörer . erbjuds * Möjligheten arbeta tillsammans lära absoluta experterna exempelvis mjukvara , optik , laser , elektronik , mekatronik mekanik . tillsammans driver arbetet finna nya vägar framåt ny teknik gör avgörande arbete fortsatta framgången divisionen * Stort grad frihet flexibilitet – arbetar utvecklingsprojekt tidigt stadie kommer ges goda möjligheter påverka arbetsprocesser rutiner bäst driven projekten framåt * mentor stöttar första tid – tror kommer ge bra förutsättningar komma in nya roll bidra utveckling företaget * arbetsplats mån kultur stöttar hjälper varandra räkna kollegorna tar tiden svara frågor teknisk projektledare arbetar optimal roll vill få bästa två världar – dels jobba nära tekniken världsledande produkter – också variationen , kontakt olika typer människor möjligheten styra egen vardag arbetar vanligtvis 1-2 projekt gången regel sträcker par veckor år , beroende projektets omfattning . jobbar utvecklingsprojekt tidigt skede , innan industrialisering , exempelvis handla utvärdera tekniska koncept ta beslut riktning utvecklingen ska fortsätta utvärdera leverantörer UV-laser ta fram mätinstrument utvecklingen . roll innebär exempelvis också att… * Arbeta processutveckling , exempelvis form utveckla nya sätt skaffa material ta fram verktyg processer hitta luckor produktutvecklingen * Sätta mål , visioner , krav projektplaner * Hantera förändringar projektplaner , koordinera resurser planera behövs * Säkerställa projekten levereras tid rätta resurserna finns projekt * budgetansvar projekt roll driv lära nya saker utveckla , värderar samarbete tycker arbeta kontakt olika typer människor funktioner . gillar nytt tvekar testa nya idéer bidra förslag förbättringar . Utöver : * högskole- civilingenjörsexamen fysik , mekanik , elektronik liknande * erfarenhet produktutveckling * par års erfarenhet teknisk projektledning * goda kunskaper svenska goda kunskaper engelska båda språken används arbetet personliga kompetenserna ser särskilt viktiga : * Samarbetsförmåga * Initiativtagande * Flexibel * Strukturerad Övrig information * Start : Enligt överenskommelse * Omfattning : Heltid * Placering : Täby * rekryteringsprocessen hanteras Academic Work Mycronics önskemål samtal mail kring tjänsten går Academic Work . * Sök tjänsten genom klicka Ansök nedan . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals intervjufasen . * OBS tar emot ansökningar via mail . Sök tjänsten genom klicka ” ansök ” nedan . Rekryteringsprocessen * Telefonintervju Academic Work * Djupintervju Academic Work , personlighetstest + problemlösningstest * Intervju Mycronic * Referenstagning + beslut Läs mer Mycronic hemsida : https : //www.mycronic.com/sv/ , : None , : None , : None , : None , : Heltid 8-17 }","Projektledare, IT",Data/IT,2021-12-30
25437354,"projektanställning deltid kommer sammanställa data presentera kollegor . Låter ? tar gärna emot ansökan redan idag Immuneed tillväxtbolag bedriver forskning utveckling bioteknik . Företaget växer hösten Immuneed flyttat in nya lokaler Centrala Uppsala . behöver strukturerad noggrann student vill ta an viktigt projekt Immuneed . kommer sammanställa data 2 interna kvalitets R & D-projekt – form plocka data sammanställa analys . kommer handledd teamet Immuneed . projektanställning startar Januari 2022 beräknas sluta sommaren 2022 . Projekten start slutdatum får lägga tidsplan tidsåtgång arbetet . konsult Academic Work erbjuder stora möjligheter växa professionellt , bygga nätverk skapa värdefulla kontakter framtiden . Läs mer konsulterbjudande . * Plocka definierade data tillhandahållet material * Sammanställa materialet ny analys ; göra grafer tabeller * Presentera samanställd data teamet Immuneed * Studerar masterutbildning universitetet studier planerade hela VT-22 * van analysera sammanställa data - kanske fena skriva labbrapporter ? * goda kunskaper excel ; viktigt skriva formler ( summera ta fram standardavvikelser ) samt göra enklare grafer tabeller * goda kunskaper Engelska tal skrift , även meriterande prata skriva Svenska person : * Noggrann * Ansvarstagande * god samarbetsförmåga Övrig information * Start : Mitten Januari 2022 * Omfattning : Deltid flexibla timmar dagtid – projekten start slutdatum får lägga tidsplan tidsåtgång arbetet * Placering : Kungsgatan 70D hemma * Rekryteringsprocessen hanteras Academic Work Immuneed önskemål frågor rörande tjänsten hanteras Academic Work . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals- intervjufasen . Läs mer Immuneed , : None , : None , : None , : None , : Projektanställning Kontorstider }",Databasadministratör,Data/IT,2021-12-30
25473353,"Deltidsskribenter stort nyhets- samhällsintresse vana skriva nyhetstexter sökes nystartad nyhetssajt stor potential . Sök tjänsten redan idag urval sker löpande rollen följer nyhetsutvecklingen Sverige världen skannar ledande nyhetssajterna . producerar nyhetstexter utefter bedömer intresserar breda allmänheten . bearbetar texter publicerar nyhetssajten även sätter rubriker . Arbetstiderna tidiga morgnar och/eller kvällstid . Arbetsverktyget enkelt textprogram får noggrann introduktion i. Publicering sker främst webben även sociala medier . tror slutskedet universitetsstudier vill få gedigen arbetslivserfarenhet journalistik . arbete sker självständigt hemifrån erbjuds dagligt stöd kontakt redaktionsledningen . erbjuds * rätt person finns goda möjligheter framtiden ta an ytterligare utmaningar internt utvecklas nya roller . * konsult Academic Work erbjuder stora möjligheter växa professionellt , bygga nätverk skapa värdefulla kontakter framtiden . Läs mer konsulterbjudande * Följa nyhetsflödet skanna ledande nyhetssajterna Sverige världen * Skriva nyhetsartiklar publicera nyhetssajten * Sätta rubrik , bild redigering WordPress * studerande journalistik/kommunikation/samhällsvetenskap * nyhets- samhällsintresserad van skribent * känsla intresserar breda allmänheten * god data- systemvana * Talar , läser skriver flytande svenska engelska även meriterande vana arbeta Wordpress tidigare erfarenhet skriva nyhetstexter liknande roll . person * Självgående * Kommunikativ * Strukturerad Vidare person producerar nyhetstexter snabbt trivs arbeta effektivt delvis tidspress . Övrig information * Start : Enligt överenskommelse * Arbetstider : Morgonpass 05.15-08.00 och/eller kvällspass 18.00-22.00 * Omfattning : Deltid , ca 10h/veckan * Placering : arbete sker distans . * Rekryteringsprocessen hanteras Academic Work kunds önskemål frågor rörande tjänsten hanteras Academic Work . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals- intervjufasen. , : None , : None , : None , : None , : Deltid 05.15-08.00 samt 18.00-22.00 }",Journalist/Reporter,"Kultur, media, design",2022-01-04
25476460,"social vet god service innebär ? Trivs koordinerande roll tycker spindel nätet ? passar tjänsten kontorsadministratör utmärkt . kommer arbeta förmiddagar måndag fredag deltid . Välkommen in ansökan , tillämpar löpande urval kontoret Stockholm sitter idag 16 personer kommer välkomna morgonen . rollen kommer se snyggt ordning kontoret , saker behöver fyllas ordnar . söker vet bra service viljan serva . * Ta emot besökare leveranser . * Fixa fika internt samt möten . * Hantera inköp beställningar samt hålla kontakten leverantörerna . * Hantera lokalfrågor kontakten fastighetsvärden andra kontaktpersoner . Hantera ev . felanmälningar lokalerna . * Ansvara köket konferensrummen ser fina . * hand inkommande avgående posten skicka rekommenderade brev . * Tömma postfacket . * Fylla färgpatroner papper skrivaren . * Skanna in post delegera vidare organisationen . * God datorvana goda kunskaper Officepaketet . * goda kunskaper svenska engelska såväl tal skrift , krävs arbetets utförande . person : * Initiativtagande . * Strukturerad/noggrann . * Serviceinriktad . Övrig information Start : Omgående . Omfattning : Deltid vardagar . 8:30-12:20 Placering : Karlavägen 60 . rekryteringsprocessen hanteras Academic Work Ström & Gullikssons önskemål samtal mail kring tjänsten går Academic Work . tjänster omfattar skapande hantering rättigheter , strategisk rådgivning , bedömningar , juridiska tjänster , bemanning utbildning – skapa upprätthålla värdefulla patentskydd . bistår kunden stadier affärsstrategisk analys skydd kommersialisering eventuella tvister. , : None , : None , : None , : None , : Deltid 8:30 - 12:20 }","Handläggare/Utredare, offentlig förvaltning","Administration, ekonomi, juridik",2021-12-30
25478915,"Wisentic letar nya kollega vill digitalisera processer försäkringsbranschen . Wisentic välkomnas genuint , hjälpsamt lösningsorienterat team utvecklingsmöjligheterna många . rollen IT-teknisk projektledare kommer implementerar systemen hos företagets kunder . får möjligheten jobba mindre familjärt bolag korta beslutsvägar , ambitionen växa . arbetar nära företagets kunder både mindre väl största försäkringsbolagen . Varmt välkommen ansökan idag Wisentic kommer ingå team 12 medarbetare olika roller kompetenser . får möjligheten arbeta nära kollegor hög kompetens närmsta chef också arbetar operativt , gör beslutsvägarna korta finns goda förutsättningar lära egna utveckling . Teamet hittar gärna roliga aktiviteter tillsammans alltid frukost fredagar , trivsam miljö kontoret firar går bra . rollen teknisk projektledare arbetar nära produktägare lösningsarkitekter . även nära samarbete säljare kundansvarig , ansvarar avtalet kund driver implementationen projekten framåt . Teknisk projektledare Wisentic kommer driva kundimplementationer befintliga nyutvecklade produkter nära samarbete kund . nya projekt etableras driver uppstarten tillsammans produktägare , kundansvarig kund säkerställer effektmål projekten ska arbeta emot . Huvudsakliga arbetsuppgifter : * Ansvar projektetablering projektstart * Driva implementationsprojekt befintliga nya produkter * Ansvara all projektdokumentation ingår projektledningen * Ansvara tekniska projekt * Fånga behov uppstår projekten förmedla kundansvarig produktägare * Delta vidareutveckling produkterna * Minst 2 års arbetserfarenhet relevant område * Tidigare erfarenhet IT-teknisk projektledning * Förståelse APIer * Tidigare erfarenhet Integrationsarbete detaljerad nivå * Intresse teknik – kunna driva frågor förstå tekniska resonemang begrepp * Ledarerfarenhet projektform * goda kunskaper svenska engelska tal skrift båda språken krävs dagliga arbetet Meriterande : * Eftergymnasial utbildning IT * Meriterande kunskap agila projekt scrum metodik person : * Strukturerad * Kommunikativ * Resultatinriktad * Ansvarstagande tror trivs högt tempo drivs nå uppsatta mål . intresse processer god struktur arbete . Samtidigt kommunikativ lagspelare naturliga ledaregenskaper . Övrig information * Start : Omgående , enligt överenskommelse * Omfattning : Heltid * Placering : Centrala Stockholm * Rekryteringsprocessen hanteras Academic Work Wisentics önskemål frågor rörande tjänsten hanteras Academic Work . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals- intervjufasen . Wisentic grundades 1994 verksamma Sverige Norge . affärsidé leverera konfigurerbara online-tjänster ( SaaS ) ger försäkringsbranschen moderna processer snabb time-to-market . skapar nöjdare försäkringstagare samt sänker skade -och administrationskostnader genom konstadskontroll intelligent automatisering . Läs mer Wisentic. , : None , : None , : None , : None , : Tillsvidare 8-17 }","Projektledare, IT",Data/IT,2021-12-30
25478917,"Vill arbeta framtidens skogstransporter agera koordinerande ansvarstagande roll ? Besitter dessutom kommunikativa förmågor vill få utlopp bolag helt unik transportbranschen just söker innovativa expansiva bolaget LOTS Group . Varmt välkommen ansökan LOTS ledande innovativt transportbolag verksamt skogs- , jordbruks- , gruvindustrin . lägger grunden framtidens transportlösningar ledande utvecklingen användningen digitala verktyg styrning planering uppkopplad fordonsflotta . svensk skogsindustri LOTS idag snabbast växande bolagen optimering skogstransporter även helägt dotterbolag Scania huvudkontor centrala Stockholm verksamheter flertal länder . Just Stockholmskontoret sökes Transportledare arbete framtidens skogstransporter . Läs mer LOTS Group hemsida . erbjuds * arbeta kontor öppet klimat närhet bolaget beslutsfattare * arbetsmiljö stämning kultur högt prioriterat arbete uppskattas * självständig roll kontinuerligt får utvecklas * konsult Academic Work erbjuder stora möjligheter växa professionellt , bygga nätverk skapa värdefulla kontakter framtiden . får bland annat dedikerad konsultchef Academic Work erbjuder coachning , profesionell utveckling stöd framåt karriärpartner . Läs mer konsulterbjudande . transportledare befinner kärnan verksamheten viktig del arbetet planera styra transporter samt stötta partners bidra kontinuerligt effektivisera verksamheten . kommer daglig kontakt kunder åkerier ansvara upprätthålla god relation . kommer exempel : * Planera volymer transportleda åkerier daglig basis * Optimera följa transportuppdrag genom hela tiden arbeta förbättringar bland annat leveransprecision , ledtider maximera andelen lastade kilometrar körda * Analysera data presentera förslag kontinuerliga förbättringar verksamheten * Förbereda leda möten kund åkare * Delaktig utvecklingen nuvarande samt nya affärer * minst gymnasial utbildning gärna området transport liknande * tidigare arbetat koordinerande roll därmed van flera kontaktytor samtidigt * goda kunskaper Microsoft Office applikationerna , speciellt Microsoft Excel * sikt möjlighet resa tjänsten kräver * rollen innebär kommunikation kunder åkerier söker goda kommunikativa färdigheter samt flytande svenska både tal skrift meriterande : * erfarenhet transportledning * kunskap erfarenhet skogsindustrin transportsektorn person : * Strukturerad * Analytisk * Flexibel snabbt prioritera förutsättningar planer förändras Vidare tror söker nyfiket förhållningssätt arbetsuppgifter gillar delaktig hitta nya lösningar tillsammans kollegor . delar gärna erfarenhet förslag förbättringar ser positivt förändringar gör arbetet mer effektivitet , lönsamt hållbart . Övrig information * Start : Enligt överenskommelse * Omfattning : Heltid * Placering : Vasagatan centrala Stockholm * Rekryteringsprocessen hanteras Academic Work LOTS Group önskemål frågor rörande tjänsten hanteras Academic Work . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals- intervjufasen. , : None , : None , : None , : None , : Kontorstider }",Transportledare,"Transport, distribution, lager",2022-01-10
25478916,"Drivs utvecklas , gillar flexibilitet utmaning ? söker tjänsten koordinerande administratör . kommer företagets kontaktpunkt intern extern kommunikation . låter , sök redan idag urval sker löpande Academic Work söker kunds räkning koordinerande administratör . Företaget internationellt bolag arbetar olika former anslutningslösningar . rollen kommer spindeln nätet , stort eget ansvar arbeta varierande uppgifter . kommer exempelvis övergripande ansvar fastigheten , tjänstebilar , ta emot leveranser stötta ekonomi- IT avdelningen . ser gärna tidigare erfarenhet administration roll verkligen trivs . ser även stor social förmåga tycker skapa relationer både internt externt . erbjuds * intern utbildning rollens delar . * social arbetsmiljö . * övergripande fastighetsansvar . * Ta emot leveranser . * Administrera stötta IT-avdelningen . * Administrera stötta ekonomiavdelningen . * Hantera resebokningar besök . * Bygga goda relationer internt externt . * Supporta/administrera leasingbilar * goda kunskaper svenska engelska , både tal skrift . internationellt företag . * god datorvana . * erfarenhet arbeta administratör . Störst vikt kommer dock läggas personlighet ser orädd , noggrann strukturerad . person nyfiken uppskattar utmaningar samt ständigt vill utvecklas lära nya saker . Övrig information * Start : Omgående/Enligt överenskommelse * Omfattning : Långsiktigt , 3 månaders provanställning * Placering : Huddinge * rekryteringsprocessen hanteras Academic Work kundens önskemål samtal mail kring tjänsten går Academic Work . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals- intervjufasen . företaget internationellt bolag erbjuder kunder olika anslutningslösningar anpassningar behov . Företagets filosofi ” Inspiring Innovations ” , handlar underlätta inspirera kundernas arbete . svenska dotterbolaget startades 1963 idag finns 2 kontor 1 produktionsanläggning Sverige . värld anslutningsteknik kabel kretskort ; automationsteknik industriell kommunikation styr- reglerteknik ; elektrisk interfaceteknik överspänningsskydd. , : None , : None , : None , : None , : Rekrytering , långsiktigt 08.00-16.30 }",Administrativ assistent,"Administration, ekonomi, juridik",2021-12-30
25477744,"söker kunds räkning dataekonom kund välkänt globalt bolag . får möjligheten utvecklas långsiktigt högteknologisk miljö ständigt utvecklas . Sök redan idag urval sker löpande Idag arbetar IT-team strategiska implementationer molnlösningar globala bolag . kommer få agera support bollplank team stötta kring molntjänster . vill förbättra möjligheterna internt ta in teknologin bra sätt kunna göra säkrare samt billigare . kund växer ständigt inga planer sluta - får möjligheten kombinera kunskaper ekonomi IT . rollen kommer arbeta analytiskt rapportering , budgetering kommunikation gällande kostnader uppstår samband implementeringen molntjänster . kund tillhandahåller molntjänster hela koncernen krävs specialanpassningar löpande utveckling skapa precisa rättvisa kostnadsbelastningar möjligt . Idag sitter teamets chef förvaltandet tid vidareutvecklingen - kommer in erbjuds * del sammansvetsat team skapar resultat genom fantastiska människor , starka relationer högpresterande kultur . * Utvecklingsmöjligheter befintliga kunskap , kommer få del löpande förändringsarbete . * konsult Academic Work erbjuder stora möjligheter växa professionellt , bygga nätverk skapa värdefulla kontakter framtiden . Läs mer konsulterbjudande . rollen kommer arbeta analytiskt rapportering , budgetering kommunikation gällande kostnader uppstår samband implementeringen molntjänster . kund tillhandahåller molntjänster hela koncernen krävs specialanpassningar löpande utveckling skapa precisa rättvisa kostnadsbelastningar möjligt . Idag sitter teamets chef förvaltandet tid vidareutvecklingen - kommer in Rollen förenklat summeras : * 25 % tiden kommer Excel månadsvis , intensivt 1-2 veckor månaden . * 25 % tiden kommer tekniska lösningar . Exempelvis , skapa rapporter , beräkna budget , prognosticera kostnader AWS * 50 % tiden kommer kommunicera produktägare arbete ska användbart möjligt * stort intresse såväl IT ekonomi vill bredda kunskaper * utbildning relevant område . ser gärna kombination ekonomi IT , exempelvis dataekonomi . * goda kunskaper Excel * obehindrade kunskaper både svenska engelska , tal skrift . meriterande : tidigare kunskaper kring molntjänster , arbete sker väldigt nära anslutning AWS person : Analytisk , driven tar ansvar arbetsuppgifter . tror agerar relationsskapande samarbetet andra , serviceinriktad besitter stort intresse stor vilja hjälpa andra . tydlig kommunikation förmåga fatta snabba beslut situationen kräver . strukturerad sätt arbeta , sätter håller tidsramar inga problem anpassa förändrade förhållanden . gillar ordning struktur samt förstår vikten noggrannhet roll . Övrig information * Start : Enligt överenskommelse * Omfattning : Heltid , långsiktigt . * Placering : Göteborg , Lindholmen * Rekryteringsprocessen hanteras Academic Work kunds önskemål frågor rörande tjänsten hanteras Academic Work . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals- intervjufasen. , : None , : None , : None , : None , : Heltid Kontorstider }",Controller,"Administration, ekonomi, juridik",2021-12-30
25477745,"söker trivs skriva systemnära flexibla lösningar Hos Webbhuset formas rollen utifrån intresse får möjligheten utvecklas bolag prestigelösa lösningsorienterade kollegor . person känsla design taggad börja jobba Elm , tjänst ska söka Sök redan idag , urvalet sker löpande . Webbhuset heltäckande strategisk e-handelsleverantör utvecklat skräddarsydda hemsidor e-handelslösningar 1998 . Idag marknadens absolut främsta e-handelsleverantörer . Webbhuset hjälper kunder vägen idéstadiet färdig e-handelslösning . Adobe Commerce plattform , världens mest använda snabbväxande e-handelsplattform , skräddarsys lösning kundens behov modern e-handelslösning . Webbhuset arbetat Adobe Commerce ( fd Magento ) 2008 , Professional-partner utvecklarna Adobe Commerce-certifierade . filmen beskriver Webbhuset själva tanken bakom verksamhet : rekryteringsprocessen hanteras Academic Work Webbhusets önskemål samtal mail kring tjänsten går Academic Work Academic Work söker Webbhusets räkning utvecklare genuint intresse programmering vill få möjligheten arbeta följande Linuxmiljö : * HTML , CSS , JavaScript * GraphQL * Adobe Commerce * E-handel betallösningar * PHP Hos Webbhuset anpassas rollen sikt utifrån egna intressen . kanske arkitekthållet vill gå ? Vill röra även jobba backend ? kanske kundkontakten ger energi ? nära dialog chef kommer växa företag många stannar länge . Tjänsten direktrekrytering innebär rekryteringsprocessen sker genom Academic Work kommer anställas direkt hos Webbhuset . * goda kunskaper JavaScript , HTML CSS * fritidsprojekt visa frontend , bifoga gärna länk github CV * obehindrad engelska goda kunskaper svenska , tal skrift person : * Ansvarstagande * Självgående * Problemlösande * Strukturerad Övrig information * Start : Enligt överenskommelse * Omfattning : Heltid * Placering : Centrala Göteborg * Rekryteringsprocessen hanteras Academic Work Webbhusets önskemål frågor rörande tjänsten hanteras Academic Work . går igenom urvalet löpande annonsen stängas ner innan tjänsten tillsatt gått urvals- intervjufasen , : None , : None , : None , : None , : Heltid Kontorstider }",Webbdesigner,"Kultur, media, design",2021-12-30
25477747,"Arbeta både programmering konfigurationer autonoma bilar . långsiktig roll seniort team kommer utveckla både kompetens nästa generations dataloggning . Läs mer nedan kund söker junior Data Acquisition Engineer kommer arbeta konfiguration , validering utveckling dataloggning autonoma bilar . kund nära samarbete världens största bilföretag fokuserar idag sitt arbete utveckla mjukvara världsklass självkörande bilar . Mjukvaran bakom självkörande bilar otroligt komplex kräver organisation hundratals människor dagligen arbetar gemensamt mål . kommer exempelvis jobba : * Dataloggutveckling konfiguration * Validering prestandatestning dataloggning * Mjukvaruutveckling loggningskontroll Rollen kommer första hand bestå cirka 50 % utveckling 50 % konfigurationshantering . roll ingår kontakt intressenter leverantörer , andra interna team samt externa parter . kommer ingå litet seniorteam får grundlig introduktion erbjuds * första steg in världsomspännande industri * Möjlighet arbeta globalt sammanhang kollegor olika bakgrund konsult Academic Work erbjuder stora möjligheter växa professionellt , bygga nätverk skapa värdefulla kontakter framtiden . Läs mer konsulterbjudande . * Goda kunskaper Python * lägst kandidatexamen relevant område * professionell kunskap engelska , tal skrift meriterande även kunskaper Shell scripting Javascript , inget krav . Annan information * Start : Enligt överenskommelse * Omfattning : Heltid * Plats : Lindholmen , Centrala Göteborg * Rekryteringsprocessen hanteras Academic Work frågor gällande tjänsten hanteras Academic Work . går igenom urvalet löpande annonsen stängas innan tjänsten tillsätts gått vidare urvals- intervjufasen. , : None , : None , : None , : None , : Heltid Kontorstider }",Systemutvecklare/Programmerare,Data/IT,2021-12-30
