description,occupation
"We are looking for you who want to go in and be involved in the business with one of our large customers in electronics! Mycronic operates in the electronics industry and has for several years in a row been named one of the companies that offer unique career and development opportunities via Karriärföretagen. With them, you are challenged every day - do you want to be a part of their continued journey? Welcome with your application!

OM TJÄNSTEN
Mycronic is looking for a Service Engineer for employment based at the headquarters in Stockholm/Täby. Your challenge will be to work with advanced inhouse process and metrology equipment in their PMC lab, enabling the development and delivery of world’s most advanced laser pattern generators for photo mask writing. Almost all displays you see around you in TV:s, computers, tablets, mobile phones etc. are manufactured using their technology! As a PMC Service Engineer at Mycronic AB you will make an important contribution to develop and secure the high performance and advanced functionality in their products.

You are offered


* Not only nice colleagues but also high levels of expertise - you will find yourself side by side with some of the leading experts in the electronics industry, getting inspired and inspiring others, as you acquire new knowledge and share it with others across functions and cultures
* You will be part of a company with a diverse culture and workforce. 




ARBETSUPPGIFTER
•   Troubleshoot and repair dedicated process and metrology equipment. Proactive and reactive.

•   Cooperate and assist Customer Support and Operations to solve problems arising in the PMC-lab.

•   Perform dedicated proactive maintenance work to achieve high tool uptime and availability, e.g. calibration

•   Contacts with suppliers for upgrades, maintenance and new tool investments

•   Perform measurements in dedicated measurement tools

•   Educate new users on process and metrology equipment

•   Build prototypes and test benches

•   Program and optimize the equipment

•   Suggest and implement improvements to the working methods


You will work in parallel with very experienced colleagues while learning all the process and metrology equipment.
A future development path may be to combine the service work with work on the pattern generator tools, depending on your own will and ambition to grow.

VI SÖKER DIG SOM
•   High school degree in science or equivalent working experience

•   > 5 years of relevant working experience

•   Some programming or scripting skills/interest

•   Interest in technology

•   Fluency in English, written and spoken alike

It's a merit if you

•   Have clean room experience

•   Semiconductor and display manufacturing knowledge





As a person you are


* Result-oriented
* Solutions-oriented
* Service minded
* Persistent


In order to succeed in this position you need to be a hands-on person that like to make things work. You should be result oriented with drive and ambition to secure a high availability of the equipment. As interactions with others are frequent you should be service minded and work persistently in a good mood until the problem is solved. You really like to solve problems, and feel rewarded when doing so.

Other information


* Start: Immediately
* Work extent: Full-time
* Location: Täby, Stockholm
* Contact information: This recruitment process is conducted by Academic Work. It is a request from Mycronic that all questions regarding the position is handled by
Academic Work.


Our selection process is continuous and the advert may close before the recruitment process is completed if we have moved forward to the screening or interview phase.

INFORMATION OM FÖRETAGET
Here you can read about Mycronic.","Servicetekniker, maskin"
"Tänk dig de mest högteknologiska elektronikprodukterna du kan föreställa dig, och sen tänker du ett steg längre. Med världsledande produktionslösningar leder de elektronikindustrin och skapar dagens mest högteknologiska produkter, men med en ödmjukhet inför att det viktigaste för att lyckas med detta är en passion för såväl affärer som teknik och framförallt människor. Mycronic befinner sig i en expansiv fas där de vill fortsätta etablera sig på fler marknader och i fler länder och för att göra detta söker de personer som vill vara med på deras fortsatta resa. Välkommen till Mycronic!

OM TJÄNSTEN
Mycronic är ett svenskt bolag som i över 40 år har utvecklat och tillverkat elektronik- och displaytillverkare och har idag kunder och distributörer i över 50 länder världen över. I dagsläget finns det inget annat företag i hela världen som kan konkurrera med Mycronics teknik och produkter. så är de tillverkade med Mycronics maskiner – och det är dessa som du kommer att vara en viktig del i utvecklingen och projektledningen av.
I och med fortsatt tillväxt och fokus på att vidareutveckla såväl befintliga produkter som att utveckla nya behöver Mycronic utöka ett av deras R&D-team med en teknisk projektledare. Du kommer att tillhöra ett team om 13 personer varav en till teknisk projektledare, där du tillsammans med ditt team driver konceptutvecklingsprojekt för Mycronic´s Pattern Generators (PG). Rollen erbjuder en stor variation av arbetsuppgifter och du kommer dagligen att ha kontakt med en mängd olika intressenter, exempelvis ingenjörer inom elektronik, mekanik, optik, produktion, inköpare och leverantörer.

Du erbjuds


* Möjligheten att arbeta tillsammans med och lära av de absoluta experterna inom exempelvis mjukvara, optik, laser, elektronik, mekatronik och mekanik. Ni tillsammans driver arbetet med att finna nya vägar framåt för ny teknik och gör ett avgörande arbete för den fortsatta framgången inom divisionen
* Stort grad av frihet och flexibilitet – då du arbetar med utvecklingsprojekt i ett tidigt stadie kommer du ges mycket goda möjligheter att påverka arbetsprocesser och rutiner för hur man bäst driven projekten framåt
* En mentor som stöttar dig under din första tid – Vi tror att detta kommer ge dig bra förutsättningar att komma in i din nya roll och bidra till din utveckling inom företaget
* En arbetsplats där man är mån om en kultur där man stöttar och hjälper varandra och där du kan räkna med att kollegorna tar sig tiden att svara på frågor!


ARBETSUPPGIFTER
Som teknisk projektledare arbetar du i en optimal roll för dig som vill få det bästa av två världar – dels jobba nära tekniken med världsledande produkter – men också variationen, kontakt med olika typer av människor och möjligheten att styra din egen vardag! Du arbetar vanligtvis i 1-2 projekt åt gången som i regel sträcker sig mellan ett par veckor upp till ett år, beroende på projektets omfattning. Du jobbar med utvecklingsprojekt i ett tidigt skede, innan industrialisering, och det kan exempelvis handla om att utvärdera tekniska koncept för att ta beslut om vilken riktning utvecklingen ska fortsätta till att utvärdera leverantörer för UV-laser till att ta fram mätinstrument för utvecklingen.

Din roll innebär exempelvis också att…


* Arbeta med processutveckling, exempelvis i form av att utveckla nya sätt att skaffa material och ta fram verktyg och processer för att hitta luckor i produktutvecklingen
* Sätta upp mål, visioner, krav och projektplaner
* Hantera förändringar i projektplaner, koordinera resurser och planera om när det behövs
* Säkerställa att projekten levereras i tid och att de rätta resurserna finns i varje projekt
* Ha budgetansvar i dina projekt


VI SÖKER DIG SOM
Detta är en roll för dig som har ett driv att lära dig nya saker och utveckla dig själv, som värderar samarbete och som tycker om att arbeta i kontakt med olika typer av människor och funktioner. Du gillar det som är nytt och tvekar inte att testa nya idéer och bidra med förslag till förbättringar.

Utöver det har du:


* En högskole- eller civilingenjörsexamen inom fysik, mekanik, elektronik eller liknande
* Har erfarenhet från produktutveckling
* Har ett par års erfarenhet inom teknisk projektledning
* Har goda kunskaper i svenska och mycket goda kunskaper i engelska då båda språken används i arbetet


De personliga kompetenserna vi ser som särskilt viktiga är:


* Samarbetsförmåga
* Initiativtagande
* Flexibel
* Strukturerad


Övrig information


* Start: Enligt överenskommelse
* Omfattning: Heltid
* Placering: Täby

* Den här rekryteringsprocessen hanteras av Academic Work och Mycronics önskemål är att alla samtal och mail kring tjänsten går till Academic Work.
* Sök tjänsten genom att klicka på Ansök nedan. Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals och intervjufasen.
* OBS! Vi tar inte emot ansökningar via mail. Sök tjänsten genom att klicka på ”ansök här” nedan.


Rekryteringsprocessen


* Telefonintervju med Academic Work
* Djupintervju med Academic Work,  personlighetstest + problemlösningstest
* Intervju med Mycronic
* Referenstagning + beslut


INFORMATION OM FÖRETAGET
Läs mer om Mycronic på deras hemsida: https://www.mycronic.com/sv/","Projektledare, IT"
"I denna projektanställning på deltid kommer du att sammanställa data och presentera för dina kollegor. Låter det som något för dig? Då tar vi gärna emot din ansökan redan idag!

OM TJÄNSTEN
Immuneed är ett tillväxtbolag som bedriver forskning och utveckling inom bioteknik. Företaget växer och under hösten har Immuneed flyttat in i sina nya lokaler i Centrala Uppsala.

Nu behöver de en strukturerad och noggrann student som vill ta sig an ett viktigt projekt för Immuneed. Du kommer att sammanställa data till 2 interna kvalitets och R&D-projekt – i form av att plocka ut data och sammanställa i en analys. Du kommer bli handledd av teamet på Immuneed.

Detta är en projektanställning som startar i Januari 2022 och beräknas sluta till sommaren 2022. Projekten har start och slutdatum men du får vara med och lägga upp tidsplan och tidsåtgång för arbetet.

Som konsult för Academic Work erbjuder vi stora möjligheter för dig att växa professionellt, bygga ditt nätverk och skapa värdefulla kontakter för framtiden. Läs mer om vårt konsulterbjudande.

ARBETSUPPGIFTER
* Plocka ut definierade data från tillhandahållet material


* Sammanställa materialet i en ny analys; göra grafer och tabeller
* Presentera samanställd data för teamet på Immuneed


VI SÖKER DIG SOM
* Studerar en masterutbildning på universitetet och har studier planerade under hela VT-22


* Är van vid att analysera och sammanställa data - kanske är du en fena på att skriva labbrapporter?
* Har goda kunskaper i excel; där det är viktigt att du kan skriva formler (summera och ta fram standardavvikelser) samt göra enklare grafer och tabeller
* Har mycket goda kunskaper i Engelska i tal och skrift, det är även meriterande om du kan prata och skriva på Svenska


Som person är du:


* Noggrann
* Ansvarstagande
* Har god samarbetsförmåga


Övrig information


* Start: Mitten av Januari 2022
* Omfattning: Deltid med flexibla timmar under dagtid – projekten har start och slutdatum men du får vara med och lägga upp tidsplan och tidsåtgång för arbetet
* Placering: Kungsgatan 70D eller hemma
* Rekryteringsprocessen hanteras av Academic Work och Immuneed önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
Läs mer om Immuneed här!",Databasadministratör
"Deltidsskribenter med stort nyhets- och samhällsintresse med vana att skriva nyhetstexter sökes till nystartad nyhetssajt med stor potential. Sök tjänsten redan idag då urval sker löpande!

OM TJÄNSTEN
I den här rollen följer du nyhetsutvecklingen i Sverige och världen och skannar de ledande nyhetssajterna. Du producerar sedan nyhetstexter utefter det som du bedömer intresserar den breda allmänheten. Du bearbetar texter och publicerar dessa på nyhetssajten där du även själv sätter rubriker. Arbetstiderna är tidiga morgnar och/eller kvällstid. Arbetsverktyget är ett enkelt textprogram som du får en noggrann introduktion i. Publicering sker främst på webben men även i sociala medier. Vi tror att du är i slutskedet av dina universitetsstudier och vill få gedigen arbetslivserfarenhet inom journalistik. Allt arbete sker självständigt hemifrån men du erbjuds dagligt stöd och kontakt med redaktionsledningen.

Du erbjuds


* För rätt person finns goda möjligheter att i framtiden ta sig an ytterligare utmaningar internt och utvecklas i nya roller.
* Som konsult för Academic Work erbjuder vi stora möjligheter för dig att växa professionellt, bygga ditt nätverk och skapa värdefulla kontakter för framtiden. Läs mer om vårt konsulterbjudande


ARBETSUPPGIFTER
* Följa nyhetsflödet och skanna de ledande nyhetssajterna i Sverige och världen


* Skriva nyhetsartiklar och publicera på nyhetssajten
* Sätta rubrik, bild och redigering i WordPress


VI SÖKER DIG SOM
* Är studerande inom journalistik/kommunikation/samhällsvetenskap


* Är nyhets- och samhällsintresserad och en van skribent
* Har en känsla för vad som intresserar den breda allmänheten
* Har god data- och systemvana
* Talar, läser och skriver flytande svenska och engelska


Det är även meriterande om du har vana att arbeta i Wordpress och har tidigare erfarenhet av att skriva nyhetstexter i en liknande roll.

Som person är du


* Självgående
* Kommunikativ
* Strukturerad


Vidare är du en person som producerar nyhetstexter snabbt och trivs med att arbeta effektivt och delvis under tidspress.

Övrig information


* Start: Enligt överenskommelse
* Arbetstider: Morgonpass 05.15-08.00 och/eller kvällspass 18.00-22.00
* Omfattning: Deltid, ca 10h/veckan
* Placering: Allt arbete sker på distans.
* Rekryteringsprocessen hanteras av Academic Work och vår kunds önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.",Journalist/Reporter
"Är du social och vet vad god service innebär? Trivs du i en koordinerande roll och tycker om att vara spindel i nätet? Då passar tjänsten som kontorsadministratör dig utmärkt. Du kommer att arbeta förmiddagar måndag till fredag på deltid. Välkommen in med din ansökan, vi tillämpar löpande urval!

OM TJÄNSTEN
På kontoret i Stockholm sitter idag 16 personer som du kommer att välkomna på morgonen. I rollen kommer du att se till att det är snyggt och i ordning på kontoret, om saker behöver fyllas på är du den som ordnar det. Vi söker dig som vet vad bra service är och har viljan till att serva.

ARBETSUPPGIFTER
* Ta emot besökare och leveranser.
* Fixa fika internt samt till möten.
* Hantera inköp och beställningar samt hålla i kontakten med leverantörerna.
* Hantera lokalfrågor och ha kontakten med fastighetsvärden och andra kontaktpersoner. Hantera ev. felanmälningar i lokalerna.
* Ansvara för att köket och konferensrummen ser fina ut.
* Ha hand om inkommande och avgående posten och skicka rekommenderade brev.
* Tömma postfacket.
* Fylla på med färgpatroner och papper i skrivaren.
* Skanna in post och delegera den vidare i organisationen.

VI SÖKER DIG SOM
* God datorvana och goda kunskaper i Officepaketet.
* Har goda kunskaper i svenska och engelska i såväl tal som skrift, då det krävs för arbetets utförande.

Som person är du:


* Initiativtagande.
* Strukturerad/noggrann.
* Serviceinriktad.


Övrig information

Start: Omgående.

Omfattning: Deltid vardagar. 8:30-12:20

Placering: Karlavägen 60.

Den här rekryteringsprocessen hanteras av Academic Work och Ström & Gullikssons önskemål är att alla samtal och mail kring tjänsten går till Academic Work.

INFORMATION OM FÖRETAGET
Deras tjänster omfattar skapande och hantering av rättigheter, strategisk rådgivning, bedömningar, juridiska tjänster, bemanning och utbildning – allt för att skapa och upprätthålla värdefulla patentskydd.

De bistår kunden i alla stadier från affärsstrategisk analys och skydd till kommersialisering och eventuella tvister.","Handläggare/Utredare, offentlig förvaltning"
"One of Scandinavia’s leading credit market companies, Entercard, is looking for a Credit Risk Specialist who will work mainly with model validation and support the business operations. We are looking for you who have experience from a similar role, enjoy programming, and are curious to learn more. You are analytical, easy to work with, and have strong communication skills. Entercard is a great company that believes that diversity, analytical capabilities, and dedicated employees drive development and growth. 

OM TJÄNSTEN
Entercard is one of Scandinavia's leading credit market companies with over 2 million customers in three markets. Through their two owners, Barclays and Swedbank, they get access to global and unique expertise within lending. Their goal is to make their customers' everyday easier by offering them smart and responsible payment and financing solutions. Entercard is present in Norway, Sweden, and Denmark and has 450 dedicated employees.

It is a 2nd line function and therefore responsible for ensuring that Entercard has a sound risk framework containing strategies, processes, procedures, internal rules, limits, controls, and reporting procedures. Together they support Entercard to identify, measure, govern, internally report and exercise control of risks. Now we're together with Entercard looking for a Credit Risk Specialist with a focus on model validation to join the team.

Academic Work is responsible for the recruitment process but you will be employed directly by Entercard.

You are offered


* An introduction about the company and role to get the very best start in your new position.
* A tight team and a dedicated mentor who will support you.
* A flexible work environment with the possibility to work partly from home and with flexible hours.
* A company with a diverse culture that is represented by 40 different nationalities.
* A strong company culture with three core values: passionate, innovative, and genuine.




ARBETSUPPGIFTER
As a Credit Risk Specialist at Entercard, your focus is on model validation which means that you will work a great deal with programming. You will
* Perform model validation of mainly credit risk models on a regular basis and report the results to the Model Forum.
* Develop the methodology for model validation, both in terms of improving the statistical methodology and optimizing the SAS code.
* Perform regular and ad-hoc analysis of mainly credit risks.
* Support in the preparation of regular risk reporting to senior management and the board.
* Perform independent internal monitoring of 1st line of defense.

VI SÖKER DIG SOM
In this recruitment process, we put great importance on your personal skills and your interest in this position and Entercard as a company. You are curious and eager to learn and have a structured way of working. You have strong communication skills, a flexible mindset, and work proactively. And lastly, are proud to call yourself a team player.

You even have


* A university degree in a relevant field, e.g. Finance, Economics, or Engineering.
* A few years of relevant experience in quantitative analysis in a bank or financial institution, or as a consultant.






Meritorious


* Knowledge in SAS.


Personal competencies we are looking for


* Communicative
* Structured
* Flexible
* Solutions-oriented


Other information


* Start: According to agreement
* Extent: Full time
* Working hours: Flexible
* Location: Norrmalm, Stockholm



Our selection process is ongoing, and the advert may close before the recruitment process is completed if we have moved forward to the screening or interview phase.

INFORMATION OM FÖRETAGET
At Entercard, we believe in collaboration and the strength of diversity. Among our employees, there are 40 different nationalities, who contribute with new knowledge and cultural experiences.

Our culture is strongly characterized by our core values: passionate, innovative, and genuine. They reflect everything we do, how we work, and how we respond to customers. We believe that diversity, analytical capabilities, and dedicated employees drive development and growth.

",Finansanalytiker
"Wisentic letar efter deras nya kollega som vill vara med och digitalisera processer i försäkringsbranschen. På Wisentic välkomnas du till ett genuint, hjälpsamt och lösningsorienterat team där utvecklingsmöjligheterna är många. I rollen som IT-teknisk projektledare kommer du vara den som implementerar systemen hos företagets kunder. Du får möjligheten att jobba i ett mindre familjärt bolag med korta beslutsvägar, som har ambitionen att växa. Du arbetar nära företagets kunder som är både mindre så väl som de största försäkringsbolagen. Varmt välkommen med din ansökan idag!

OM TJÄNSTEN
På Wisentic kommer du att ingå i ett team om 12 medarbetare med olika roller och kompetenser. Du får möjligheten att arbeta nära dina kollegor med hög kompetens och din närmsta chef som också arbetar operativt, vilket gör att beslutsvägarna är korta och det finns goda förutsättningar för att lära dig mycket för din egna utveckling. Teamet hittar gärna på roliga aktiviteter tillsammans och har alltid frukost på fredagar, det är en trivsam miljö på kontoret och man firar när något går bra.

I rollen som teknisk projektledare arbetar du nära produktägare och lösningsarkitekter. Du har även nära samarbete med säljare och kundansvarig, som ansvarar för avtalet med kund och det är du som driver implementationen och projekten framåt.

ARBETSUPPGIFTER
Som Teknisk projektledare på Wisentic kommer du att driva kundimplementationer av befintliga och nyutvecklade produkter i nära samarbete med kund. När nya projekt etableras driver du uppstarten tillsammans med produktägare, kundansvarig och kund och säkerställer vilka effektmål som projekten ska arbeta emot.

Huvudsakliga arbetsuppgifter:


* Ansvar för projektetablering och projektstart
* Driva implementationsprojekt av befintliga och nya produkter
* Ansvara för all projektdokumentation och det som ingår i projektledningen
* Ansvara för tekniska projekt
* Fånga upp behov som uppstår under projekten och förmedla det till kundansvarig och produktägare
* Delta i vidareutveckling av produkterna


VI SÖKER DIG SOM
* Minst 2 års arbetserfarenhet inom relevant område
* Tidigare erfarenhet från IT-teknisk projektledning
* Förståelse för APIer
* Tidigare erfarenhet av Integrationsarbete på detaljerad nivå
* Intresse för teknik – kunna driva frågor och förstå tekniska resonemang och begrepp
* Ledarerfarenhet i projektform
* Har goda kunskaper i svenska och engelska i tal och skrift då båda språken krävs i det dagliga arbetet

Meriterande:


* Eftergymnasial utbildning inom IT
* Meriterande med kunskap om agila projekt och scrum metodik


Som person är du:


* Strukturerad
* Kommunikativ
* Resultatinriktad
* Ansvarstagande


Vi tror att du trivs i ett högt tempo och drivs av att nå uppsatta mål. Du har ett intresse för processer och har en god struktur i ditt arbete. Samtidigt är du en kommunikativ lagspelare som har naturliga ledaregenskaper.

Övrig information


* Start: Omgående, enligt överenskommelse
* Omfattning: Heltid
* Placering: Centrala Stockholm
* Rekryteringsprocessen hanteras av Academic Work och Wisentics önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
Wisentic grundades 1994 och är verksamma i Sverige och Norge. Deras affärsidé är att leverera konfigurerbara online-tjänster (SaaS) som ger försäkringsbranschen moderna processer med snabb time-to-market. De skapar nöjdare försäkringstagare samt sänker skade -och administrationskostnader genom konstadskontroll och intelligent automatisering. Läs mer om Wisentic.","Projektledare, IT"
"Vill du arbeta med framtidens skogstransporter och agera i en koordinerande och ansvarstagande roll? Besitter du dessutom kommunikativa förmågor och vill få utlopp för dessa på ett bolag som är helt unik inom transportbranschen så är det just dig vi söker till innovativa och expansiva bolaget LOTS Group. Varmt välkommen med din ansökan!

OM TJÄNSTEN
LOTS är ett ledande och innovativt transportbolag verksamt inom skogs-, jordbruks-, och gruvindustrin. De lägger grunden för framtidens transportlösningar och är ledande i utvecklingen och användningen av digitala verktyg för styrning och planering av en uppkopplad fordonsflotta. Inom svensk skogsindustri är LOTS idag ett av de snabbast växande bolagen inom optimering av skogstransporter och även ett helägt dotterbolag till Scania med huvudkontor i centrala Stockholm och verksamheter i ett flertal länder.

Just till Stockholmskontoret sökes nu en Transportledare för arbete med framtidens skogstransporter. Läs mer om LOTS Group på deras hemsida.

Du erbjuds


* Att arbeta på ett kontor med öppet klimat med närhet till bolaget och dess beslutsfattare
* En arbetsmiljö där stämning och kultur är högt prioriterat och där ditt arbete uppskattas
* En självständig roll där du kontinuerligt får utvecklas
* Som konsult för Academic Work erbjuder vi stora möjligheter för dig att växa professionellt, bygga ditt nätverk och skapa värdefulla kontakter för framtiden. Du får bland annat en dedikerad konsultchef på Academic Work som erbjuder coachning, profesionell utveckling och stöd framåt som karriärpartner. Läs mer om vårt konsulterbjudande.


ARBETSUPPGIFTER
Som transportledare befinner du dig i kärnan av verksamheten och är en viktig del i arbetet att planera och styra transporter samt stötta partners och bidra till att kontinuerligt effektivisera verksamheten. Du kommer ha daglig kontakt med kunder och åkerier och ansvara för att upprätthålla en god relation till dessa.

Du kommer till exempel att:


* Planera volymer och transportleda åkerier på daglig basis
* Optimera och följa upp transportuppdrag genom att hela tiden arbeta med förbättringar inom bland annat leveransprecision, ledtider och att maximera andelen lastade kilometrar körda
* Analysera data och presentera förslag på kontinuerliga förbättringar för verksamheten
* Förbereda och leda möten med kund och åkare
* Delaktig i utvecklingen av nuvarande samt nya affärer


VI SÖKER DIG SOM
* Har minst en gymnasial utbildning och gärna inom området transport eller liknande


* Har tidigare arbetat i en koordinerande roll och är därmed van vid flera kontaktytor samtidigt
* Har goda kunskaper i Microsoft Office applikationerna, speciellt Microsoft Excel
* På sikt har möjlighet att resa när tjänsten så kräver det
* Då rollen innebär kommunikation med kunder och åkerier så söker vi dig med mycket goda kommunikativa färdigheter samt dig som är flytande i svenska i både tal och skrift


Det är meriterande om du:


* Har erfarenhet av transportledning
* Har kunskap eller erfarenhet från skogsindustrin eller transportsektorn


Som person är du:


* Strukturerad
* Analytisk
* Flexibel och kan snabbt prioritera om när förutsättningar och planer förändras


Vidare tror vi att du som söker har ett nyfiket förhållningssätt till dina arbetsuppgifter och gillar att vara delaktig i att hitta nya lösningar tillsammans med dina kollegor. Du delar gärna med dig av erfarenhet och förslag på förbättringar och ser positivt på förändringar som gör arbetet mer effektivitet, lönsamt och hållbart.

Övrig information


* Start: Enligt överenskommelse
* Omfattning: Heltid
* Placering: Vasagatan i centrala Stockholm
* Rekryteringsprocessen hanteras av Academic Work och LOTS Group önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.",Transportledare
"Drivs du av att utvecklas, gillar flexibilitet och utmaning? Då söker vi dig för tjänsten som koordinerande administratör. Du kommer att vara företagets kontaktpunkt för intern och extern kommunikation. Om detta låter som dig, sök redan idag då urval sker löpande!

OM TJÄNSTEN
Academic Work söker nu för kunds räkning en koordinerande administratör. Företaget är ett internationellt bolag och arbetar med olika former av anslutningslösningar. I rollen kommer du att vara spindeln i nätet, ha ett stort eget ansvar och arbeta med varierande uppgifter. Du kommer exempelvis att ha ett övergripande ansvar för fastigheten, tjänstebilar, ta emot leveranser och stötta upp på ekonomi- och IT avdelningen. Vi ser gärna att du sedan tidigare har erfarenhet av administration och att det är en roll du verkligen trivs med. Vi ser även att du har en stor social förmåga och tycker om att skapa relationer både internt och externt.

Du erbjuds


* En intern utbildning i alla rollens delar.
* En mycket social arbetsmiljö.


ARBETSUPPGIFTER
* Ha ett övergripande fastighetsansvar.
* Ta emot leveranser.
* Administrera och stötta IT-avdelningen.
* Administrera och stötta ekonomiavdelningen.
* Hantera resebokningar och besök.
* Bygga goda relationer internt och externt.
* Supporta/administrera leasingbilar

VI SÖKER DIG SOM
* Har mycket goda kunskaper i svenska och engelska, i både tal och skrift. Detta då det är ett internationellt företag.
* Har god datorvana.
* Har erfarenhet av att arbeta som administratör.

Störst vikt kommer dock att läggas vid personlighet där vi ser att du är orädd, noggrann och strukturerad. Som person är du nyfiken av dig och du uppskattar utmaningar samt att du ständigt vill utvecklas och lära dig nya saker.

Övrig information


* Start: Omgående/Enligt överenskommelse
* Omfattning: Långsiktigt, med 3 månaders provanställning
* Placering: Huddinge
* Den här rekryteringsprocessen hanteras av Academic Work och kundens önskemål är att alla samtal och mail kring tjänsten går till Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.

INFORMATION OM FÖRETAGET
Det här företaget är ett internationellt bolag som erbjuder kunder olika anslutningslösningar och anpassningar efter deras behov. Företagets filosofi är ”Inspiring Innovations”, vilket handlar om att underlätta och inspirera kundernas arbete. Det svenska dotterbolaget startades 1963 och idag finns det 2 kontor och 1 produktionsanläggning i Sverige. Det är en värld av anslutningsteknik mellan kabel och kretskort; av automationsteknik från industriell kommunikation till styr- och reglerteknik; av elektrisk interfaceteknik och av överspänningsskydd.",Administrativ assistent
"Nu söker vi för kunds räkning en dataekonom! Vår kund är ett välkänt globalt bolag. Här får du möjligheten att utvecklas långsiktigt i en högteknologisk miljö som ständigt utvecklas. Sök redan idag då urval sker löpande!

OM TJÄNSTEN
Idag arbetar ett IT-team med strategiska implementationer av molnlösningar i detta globala bolag. Du kommer få agera support och bollplank för deras team och stötta upp kring molntjänster. Du vill förbättra möjligheterna internt för att ta in teknologin på ett bra sätt och kunna göra det säkrare samt billigare. Vår kund växer ständigt och har inga planer på att sluta - här får du möjligheten att kombinera dina kunskaper i ekonomi med IT.

I rollen kommer du arbeta analytiskt med rapportering, budgetering och kommunikation gällande kostnader som uppstår i samband med implementeringen av molntjänster. Då vår kund tillhandahåller molntjänster till hela koncernen krävs specialanpassningar och löpande utveckling för att skapa så precisa och rättvisa kostnadsbelastningar som möjligt. Idag sitter teamets chef med förvaltandet av detta men har inte tid för vidareutvecklingen - där kommer du in!

Du erbjuds


* Att bli en del av ett sammansvetsat team som skapar resultat genom fantastiska människor, starka relationer och en högpresterande kultur.
* Utvecklingsmöjligheter till din befintliga kunskap, då du kommer få vara del av ett löpande förändringsarbete.
* Som konsult för Academic Work erbjuder vi stora möjligheter för dig att växa professionellt, bygga ditt nätverk och skapa värdefulla kontakter för framtiden. Läs mer om vårt konsulterbjudande.


ARBETSUPPGIFTER
I rollen kommer du arbeta analytiskt med rapportering, budgetering och kommunikation gällande kostnader som uppstår i samband med implementeringen av molntjänster. Då vår kund tillhandahåller molntjänster till hela koncernen krävs specialanpassningar och löpande utveckling för att skapa så precisa och rättvisa kostnadsbelastningar som möjligt. Idag sitter teamets chef med förvaltandet av detta men har inte tid för vidareutvecklingen - där kommer du in!

Rollen kan förenklat summeras i:
* 25% av tiden kommer du sitta med Excel månadsvis, intensivt 1-2 veckor i månaden.
* 25% av tiden kommer du sitta med tekniska lösningar. Exempelvis, skapa rapporter, beräkna budget, prognosticera kostnader i AWS
* 50% av tiden kommer du kommunicera med produktägare för att ditt arbete ska vara så användbart som möjligt

VI SÖKER DIG SOM
* Har ett stort intresse för såväl IT som ekonomi och vill bredda dina kunskaper
* Har en utbildning inom relevant område. Vi ser gärna att detta kan vara en kombination av ekonomi och IT, exempelvis dataekonomi.
* Har goda kunskaper i Excel
* Har obehindrade kunskaper i både svenska och engelska, i tal och skrift.

Det är meriterande om du:

Har tidigare kunskaper kring molntjänster, då ditt arbete sker i väldigt nära anslutning till AWS

Som person är du:

Analytisk, driven och tar ansvar för dina arbetsuppgifter. Vi tror att du agerar relationsskapande i samarbetet med andra, är serviceinriktad och besitter ett stort intresse och en stor vilja att hjälpa andra. Du är tydlig i din kommunikation och har en förmåga att fatta snabba beslut om situationen kräver det. Du är strukturerad i ditt sätt att arbeta, sätter upp och håller tidsramar och har inga problem att anpassa dig till förändrade förhållanden. Du gillar ordning och struktur samt förstår vikten av noggrannhet i denna roll.

Övrig information


* Start: Enligt överenskommelse
* Omfattning: Heltid, långsiktigt.
* Placering: Göteborg, Lindholmen
* Rekryteringsprocessen hanteras av Academic Work och vår kunds önskemål är att alla frågor rörande tjänsten hanteras av Academic Work.


Vi går igenom urvalet löpande och annonsen kan stängas ner innan tjänsten är tillsatt om vi gått över till urvals- och intervjufasen.",Controller
